#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69405.1           -            877 6482at5820           -            498   4.5e-21   73.4  28.2   1   1   2.5e-23   4.5e-21   73.4  28.2   105   471   128   510   112   530 0.74 ATP-dependent RNA helicase DBP4, putative [Plasmodium vivax]
SCO67171.1           -           1329 6482at5820           -            498     4e-20   70.3   3.2   1   3    0.0038      0.67    6.9   0.0   113   173   144   204   129   221 0.76 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO67171.1           -           1329 6482at5820           -            498     4e-20   70.3   3.2   2   3   0.00088      0.16    9.0   0.2   214   275   496   558   463   562 0.79 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO67171.1           -           1329 6482at5820           -            498     4e-20   70.3   3.2   3   3     4e-17   7.2e-15   53.0   0.3   338   438   879   979   875   989 0.92 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO64986.1           -           1262 6482at5820           -            498   6.6e-20   69.6  12.2   1   4   0.00031     0.056   10.4   0.0    88   168     4    84     1    98 0.89 RNA helicase, putative [Plasmodium vivax]
SCO64986.1           -           1262 6482at5820           -            498   6.6e-20   69.6  12.2   2   4      0.43        76    0.1   0.0   178   196   136   154   131   159 0.87 RNA helicase, putative [Plasmodium vivax]
SCO64986.1           -           1262 6482at5820           -            498   6.6e-20   69.6  12.2   3   4      0.01       1.8    5.4   0.2   249   296   290   338   274   350 0.77 RNA helicase, putative [Plasmodium vivax]
SCO64986.1           -           1262 6482at5820           -            498   6.6e-20   69.6  12.2   4   4   1.9e-17   3.4e-15   54.0   5.0   330   447   588   704   562   716 0.80 RNA helicase, putative [Plasmodium vivax]
SCO69403.1           -            995 6482at5820           -            498   6.4e-18   63.0  34.3   1   4   5.9e-07   0.00011   19.4   0.2   135   176    72   113    60   119 0.88 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 6482at5820           -            498   6.4e-18   63.0  34.3   2   4     0.018       3.2    4.7   0.2   176   198   239   261   234   292 0.71 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
